Выражение;Результат
2 + x;Ошибка синтаксиса
sin(0);0.0
sin(0);0.0
sin(0);0.0
sin(0);Ошибка синтаксиса
sin(0);Ошибка синтаксиса
sin(0);Ошибка синтаксиса
155.91*3;467.73
319.72*3;959.1600000000001
189.29*3-138.31;429.56
121.97*3+62.22;428.13
370.19*3-287.29;823.28
163.45*3;490.34999999999997
2927.35*3+323.86;9105.91
2120.06*3;6360.18
679.95*3;2039.8500000000001
1035.4*2+742.52;2813.32
1035.4*Г2+742.52;Ошибка. Недопустимый символ
331.57*3;994.71
7381.96*3-1227.48;20918.4
1447.92*3-300;4043.76
tan(pi/2+0.0000000001);-10000005295.83309
tan(pi/2-0.0000000001);9999993049.367125
tan(pi/2-0.00000000000000001);1.633123935319537e+16
tan(pi/2+0.00000000000000001);1.633123935319537e+16
tan(pi/2+e-16);1.1509202045949447
tan(pi/2);1.633123935319537e+16
tn(pi/2);Ошибка. Недопустимый символ
